game,seed,teamset,adaptive_persistent,adaptive_reset,full,intentional,p1_resp_obs,p1_p_play_num,p1_p_disc_num,p1_p_play_color,p1_p_disc_color,p1_giving_obs,p1_giving_play_bias,p1_giving_color_bias,p1_giving_conservatism,p1_giving_coverage,p2_resp_obs,p2_p_play_num,p2_p_disc_num,p2_p_play_color,p2_p_disc_color,p2_giving_obs,p2_giving_play_bias,p2_giving_color_bias,p2_giving_conservatism,p2_giving_coverage,p3_resp_obs,p3_p_play_num,p3_p_disc_num,p3_p_play_color,p3_p_disc_color,p3_giving_obs,p3_giving_play_bias,p3_giving_color_bias,p3_giving_conservatism,p3_giving_coverage,ma50_adaptive_persistent,ma50_adaptive_reset,ma50_full,ma50_intentional,diff_persistent_reset,diff_persistent_full,diff_persistent_intentional
1,1205740378,5,16,16,12,15,3,0.4,0.4,0.5,0.25,1,1.0,0.0,7.0,0.5,1,0.25,0.25,0.3333333333333333,0.3333333333333333,11,0.5151515151515151,0.2727272727272727,5.636363636363637,0.446969696969697,3,0.3333333333333333,0.3333333333333333,0.5,0.16666666666666666,3,0.5,0.6666666666666666,5.0,0.5,16.0,16.0,12.0,15.0,0,4,1
2,1205740379,5,15,16,14,14,5,0.4,0.4,0.5,0.16666666666666666,2,1.0,0.0,7.0,0.375,4,0.2,0.2,0.6,0.2,19,0.6228070175438597,0.2631578947368421,5.473684210526316,0.4035087719298246,10,0.5,0.125,0.625,0.125,7,0.5714285714285714,0.7142857142857143,5.0,0.42857142857142855,15.5,16.0,13.0,14.5,-1,1,1
3,1205740380,5,14,14,15,13,6,0.4,0.4,0.5714285714285714,0.14285714285714285,3,1.0,0.0,7.0,0.4166666666666667,7,0.3333333333333333,0.16666666666666666,0.42857142857142855,0.14285714285714285,27,0.6234567901234569,0.2222222222222222,5.444444444444445,0.36728395061728397,16,0.5555555555555556,0.1111111111111111,0.6923076923076923,0.07692307692307693,12,0.5416666666666666,0.75,5.083333333333333,0.3958333333333333,15.0,15.333333333333334,13.666666666666666,14.0,0,-1,1
4,1205740381,5,13,14,13,13,10,0.42857142857142855,0.42857142857142855,0.5555555555555556,0.1111111111111111,3,1.0,0.0,7.0,0.4166666666666667,10,0.375,0.125,0.375,0.25,32,0.6145833333333334,0.25,5.40625,0.38020833333333337,20,0.5454545454545454,0.09090909090909091,0.7333333333333333,0.06666666666666667,19,0.5789473684210527,0.6842105263157895,5.368421052631579,0.4035087719298246,14.5,15.0,13.5,13.75,-1,0,0
5,1205740382,5,15,11,14,12,13,0.42857142857142855,0.42857142857142855,0.5,0.25,4,1.0,0.0,7.0,0.4375,13,0.4,0.1,0.3333333333333333,0.2222222222222222,39,0.6324786324786326,0.20512820512820512,5.384615384615385,0.3824786324786325,23,0.5833333333333334,0.08333333333333333,0.7647058823529411,0.058823529411764705,25,0.56,0.72,5.32,0.3966666666666667,14.6,14.2,13.6,13.4,4,1,3
6,1205740383,5,14,15,12,13,17,0.5,0.375,0.4,0.26666666666666666,4,1.0,0.0,7.0,0.4375,15,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.2222222222222222,50,0.6566666666666667,0.22,5.36,0.37833333333333335,27,0.5714285714285714,0.07142857142857142,0.7894736842105263,0.05263157894736842,28,0.5535714285714286,0.75,5.357142857142857,0.38988095238095244,14.5,14.333333333333334,13.333333333333334,13.333333333333334,-1,2,1
7,1205740384,5,13,14,11,13,22,0.45454545454545453,0.45454545454545453,0.35294117647058826,0.35294117647058826,5,1.0,0.2,7.0,0.4,16,0.38461538461538464,0.15384615384615385,0.3333333333333333,0.2222222222222222,58,0.6695402298850575,0.1896551724137931,5.344827586206897,0.37787356321839083,29,0.6,0.06666666666666667,0.8,0.05,33,0.5606060606060606,0.7878787878787878,5.303030303030303,0.39141414141414144,14.285714285714286,14.285714285714286,13.0,13.285714285714286,-1,2,0
8,1205740385,5,12,12,10,13,26,0.4166666666666667,0.5,0.3,0.45,6,0.8333333333333334,0.3333333333333333,7.0,0.4166666666666667,23,0.4117647058823529,0.11764705882352941,0.4166666666666667,0.16666666666666666,65,0.694871794871795,0.18461538461538463,5.323076923076923,0.3717948717948718,32,0.6,0.06666666666666667,0.6956521739130435,0.08695652173913043,39,0.6025641025641025,0.7435897435897436,5.282051282051282,0.38461538461538464,14.0,14.0,12.625,13.25,0,2,-1
9,1205740386,5,13,12,12,12,31,0.4,0.5333333333333333,0.2727272727272727,0.5,6,0.8333333333333334,0.3333333333333333,7.0,0.4166666666666667,27,0.45,0.1,0.46153846153846156,0.15384615384615385,74,0.6644144144144145,0.20270270270270271,5.297297297297297,0.36711711711711714,35,0.5625,0.0625,0.68,0.08,44,0.625,0.7727272727272727,5.295454545454546,0.37121212121212116,13.88888888888889,13.777777777777779,12.555555555555555,13.11111111111111,1,1,1
10,1205740387,5,13,13,11,13,34,0.3333333333333333,0.5555555555555556,0.2727272727272727,0.5,6,0.8333333333333334,0.3333333333333333,7.0,0.4166666666666667,29,0.5,0.09090909090909091,0.46153846153846156,0.15384615384615385,82,0.6341463414634148,0.24390243902439024,5.317073170731708,0.37093495934959353,40,0.5789473684210527,0.05263157894736842,0.7037037037037037,0.07407407407407407,51,0.6764705882352942,0.7843137254901961,5.333333333333333,0.35457516339869277,13.8,13.7,12.4,13.1,0,2,0
